category,product,competitor,url,price,updated
GASH,,OG,https://www.offgamers.com/,,
GASH,,G2G,https://www.g2g.com/,,
GASH,,Kinguin,https://www.kinguin.net/,,
GASH,,Seagm,https://www.seagm.com/en-us,,
GASH,,G2A,https://www.g2a.com/,,
GASH,,Codashop,https://www.codashop.com/en-us/,,
GASH,,LapakGaming,https://www.joytify.com/en-us,,
GASH,,Unipin,https://www.unipin.com/,,
GASH,,Eneba,https://www.eneba.com/,,
GASH,,MooGold,https://moogold.com/,,
Steam,,OG,https://www.offgamers.com/,,
Steam,,G2G,https://www.g2g.com/,,
Steam,,Kinguin,https://www.kinguin.net/,,
Steam,,Seagm,https://www.seagm.com/en-us,,
Steam,,G2A,https://www.g2a.com/,,
Steam,,Codashop,https://www.codashop.com/en-us/,,
Steam,,LapakGaming,https://www.joytify.com/en-us,,
Steam,,Unipin,https://www.unipin.com/,,
Steam,,Eneba,https://www.eneba.com/,,
Steam,,MooGold,https://moogold.com/,,
iTunes,,OG,https://www.offgamers.com/,,
iTunes,,G2G,https://www.g2g.com/,,
iTunes,,Kinguin,https://www.kinguin.net/,,
iTunes,,Seagm,https://www.seagm.com/en-us,,
iTunes,,G2A,https://www.g2a.com/,,
iTunes,,Codashop,https://www.codashop.com/en-us/,,
iTunes,,LapakGaming,https://www.joytify.com/en-us,,
iTunes,,Unipin,https://www.unipin.com/,,
iTunes,,Eneba,https://www.eneba.com/,,
iTunes,,MooGold,https://moogold.com/,,
Apple Gift Card,,G2G,https://www.g2g.com/,,
Apple Gift Card,,Kinguin,https://www.kinguin.net/,,
Apple Gift Card,,Seagm,https://www.seagm.com/en-us,,
Apple Gift Card,,G2A,https://www.g2a.com/,,
Apple Gift Card,,Codashop,https://www.codashop.com/en-us/,,
Apple Gift Card,,LapakGaming,https://www.joytify.com/en-us,,
Apple Gift Card,,Unipin,https://www.unipin.com/,,
Apple Gift Card,,Eneba,https://www.eneba.com/,,
Apple Gift Card,,MooGold,https://moogold.com/,,
Razer Gold,,G2G,https://www.g2g.com/,,
Razer Gold,,Kinguin,https://www.kinguin.net/,,
Razer Gold,,Seagm,https://www.seagm.com/en-us,,
Razer Gold,,G2A,https://www.g2a.com/,,
Razer Gold,,Codashop,https://www.codashop.com/en-us/,,
Razer Gold,,LapakGaming,https://www.joytify.com/en-us,,
Razer Gold,,Unipin,https://www.unipin.com/,,
Razer Gold,,Eneba,https://www.eneba.com/,,
Razer Gold,,MooGold,https://moogold.com/,,
PlayStation,,OG,https://www.offgamers.com/,,
PlayStation,,G2G,https://www.g2g.com/,,
PlayStation,,Kinguin,https://www.kinguin.net/,,
PlayStation,,Seagm,https://www.seagm.com/en-us,,
PlayStation,,G2A,https://www.g2a.com/,,
PlayStation,,Codashop,https://www.codashop.com/en-us/,,
PlayStation,,LapakGaming,https://www.joytify.com/en-us,,
PlayStation,,Unipin,https://www.unipin.com/,,
PlayStation,,Eneba,https://www.eneba.com/,,
PlayStation,,MooGold,https://moogold.com/,,
Amazon,,OG,https://www.offgamers.com/,,
Amazon,,G2G,https://www.g2g.com/,,
Amazon,,Kinguin,https://www.kinguin.net/,,
Amazon,,Seagm,https://www.seagm.com/en-us,,
Amazon,,G2A,https://www.g2a.com/,,
Amazon,,Codashop,https://www.codashop.com/en-us/,,
Amazon,,LapakGaming,https://www.joytify.com/en-us,,
